# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	80061
#@/user_id	24769514-98c0-4d1f-9fa1-759af48b6715
a 	呵	c=1 d=1 t=45232
ben ren 	本人	c=4 d=1 t=43003
ben shen 	本身	c=11 d=1 t=74386
ben ti 	本体	c=2 d=1 t=43714
ben yi 	本意	c=1 d=1 t=54889
ben zhi 	本职	c=1 d=1 t=69788
ben zhi 	本质	c=3 d=1 t=69613
ben zhong 	笨重	c=1 d=1 t=18839
ben zi 	本子	c=1 d=5.47674e-06 t=17463
beng di 	蹦迪	c=1 d=1.52139e-25 t=17463
beng guan 	甭管	c=2 d=1 t=69818
bi 	比	c=10 d=0.1 t=73297
bi 	笔	c=1 d=1 t=76700
bi 	逼	c=1 d=1 t=25531
bi a 	比啊	c=0 d=0.1 t=61142
bi a ke 	比阿克	c=1 d=3.32747e-26 t=17463
bi a ling 	比阿玲	c=1 d=1 t=60417
bi a shi 	比啊是	c=1 d=1 t=61143
bi bei 	必备	c=0 d=0.00596059 t=17463
bi bi 	逼逼	c=1 d=7.12983e-21 t=17463
bi bu liao 	比不了	c=1 d=1 t=35693
bi ci 	彼此	c=2 d=1.99501 t=47252
bi duan 	弊端	c=1 d=1 t=53191
bi dui 	比对	c=10 d=1 t=26849
bi fang 	比方	c=1 d=3.31888e-25 t=17463
bi hua 	笔画	c=3 d=2.67485 t=21495
bi ji 	笔记	c=17 d=1 t=74229
bi ji ben 	笔记本	c=12 d=1 t=77897
bi ji ben wang ka 	笔记本网卡	c=1 d=1 t=45567
bi jia 	比价	c=1 d=1 t=75330
bi jiao 	比较	c=83 d=1.73063 t=77763
bi jiao ao 	比较熬	c=2 d=1 t=49807
bi jiao chang 	比较长	c=1 d=1 t=77143
bi jiao de 	比较的	c=1 d=1 t=41168
bi jiao duo 	比较多	c=1 d=1 t=53601
bi jiao hao 	比较好	c=2 d=1 t=53852
bi jiao jie guo 	比较结果	c=2 d=1.20468e-17 t=17463
bi jiao leng 	比较冷	c=1 d=1.80614e-14 t=17463
bi jiao man 	比较慢	c=1 d=1 t=68759
bi jiao si 	比较死	c=1 d=1 t=27432
bi jing 	毕竟	c=4 d=1 t=46379
bi li 	比例	c=6 d=2.70093 t=44629
bi li bi li 	哔哩哔哩	c=4 d=1.05901 t=19285
bi mian 	避免	c=8 d=1 t=67700
bi mian le 	避免了	c=2 d=1.06142 t=55148
bi niu er 	鼻牛儿	c=0 d=0.1 t=58972
bi niu er lei 	鼻牛儿类	c=1 d=1 t=58973
bi ou 	比偶	c=0 d=2.17695e-06 t=17463
bi ou shuo 	比偶说	c=1 d=2.18786e-05 t=17463
bi qi lai 	比起来	c=1 d=1 t=19014
bi ran 	必然	c=3 d=1 t=70500
bi ran de 	必然的	c=1 d=1 t=56724
bi ru 	比如	c=29 d=1.15724 t=71934
bi sai 	比赛	c=3 d=1 t=47078
bi shang 	比上	c=0 d=2.87442e-11 t=17463
bi shang mian 	比上面	c=1 d=1 t=49637
bi shang yi ge 	比上一个	c=1 d=2.88883e-10 t=17463
bi shu 	必输	c=1 d=1 t=18170
bi su 	鄙俗	c=1 d=1 t=41296
bi te 	比特	c=0 d=0.1 t=68842
bi te bi 	比特币	c=1 d=1 t=25516
bi te zhi 	比特值	c=1 d=1 t=68843
bi tian 	必填	c=0 d=0.1 t=44705
bi tian jiao yan 	必填校验	c=1 d=1 t=37075
bi tian xiang 	必填项	c=2 d=1.40657 t=20639
bi tian xie 	必填写	c=1 d=1 t=44706
bi wan 	比完	c=1 d=1 t=16721
bi wan 	臂弯	c=1 d=1 t=16720
bi wo 	比我	c=3 d=1 t=27434
bi wo 	逼我	c=1 d=1 t=21718
bi wo hao 	比我好	c=1 d=1.1906e-23 t=17463
bi xu 	必需	c=1 d=1 t=62124
bi xu 	必须	c=43 d=1.05313 t=77992
bi xu chi 	必须吃	c=1 d=1 t=33677
bi xu jiao yan 	必须校验	c=1 d=1 t=44752
bi yao 	必要	c=1 d=1 t=69913
bi ye 	毕业	c=3 d=1 t=50507
bi ye hou 	毕业后	c=3 d=2.90089e-20 t=17463
bi ye zheng 	毕业证	c=1 d=2.77122e-21 t=17463
bi yi ge 	比一个	c=1 d=1 t=49083
bi ying 	必应	c=7 d=1 t=74182
bi zhi 	壁纸	c=9 d=1 t=74183
bi zhi qian 	比之前	c=1 d=1 t=73298
bi zhi yin qing 	壁纸引擎	c=1 d=1 t=57443
bi zhong 	币种	c=85 d=1.96561 t=42198
bi zi 	鼻子	c=1 d=0.0157644 t=17463
bi zong 	比踪	c=1 d=0.00451658 t=17463
bian 	便	c=2 d=1 t=63609
bian 	变	c=3 d=0.1 t=66498
bian 	边	c=3 d=1 t=27002
bian bai 	变白	c=1 d=4.35887e-26 t=17463
bian cheng 	变成	c=3 d=1 t=55605
bian cheng 	编程	c=35 d=1 t=79089
bian cheng ji chu 	编程基础	c=1 d=1 t=15629
bian cheng lei 	编程类	c=1 d=1 t=20968
bian chu 	变出	c=1 d=1 t=56457
bian de 	变得	c=3 d=1 t=76339
bian geng 	变更	c=14 d=1 t=70067
bian gun dong 	变滚动	c=1 d=1 t=18441
bian hao 	编号	c=36 d=1.0001 t=77706
bian hua 	变化	c=33 d=1.0004 t=69821
bian hua de 	变化的	c=1 d=1 t=69812
bian huai 	变坏	c=1 d=1 t=39236
bian hui 	便会	c=2 d=1.38098 t=54947
bian ji 	编辑	c=33 d=6.78038 t=76933
bian ji qi 	编辑器	c=9 d=1 t=74631
bian jie 	便捷	c=1 d=1.02759e-26 t=17463
bian jie 	边界	c=1 d=1 t=32075
bian kan 	边看	c=1 d=1 t=66498
bian kuang 	边框	c=7 d=1.9802 t=49288
bian le 	变了	c=1 d=1 t=26566
bian li 	遍历	c=16 d=1 t=66929
bian lian 	变脸	c=3 d=1.49659 t=60202
bian liang 	变量	c=174 d=3.58223 t=73992
bian liang ming 	变量名	c=10 d=3.172 t=60489
bian liang ming cheng 	变量名称	c=2 d=1.59156 t=42589
bian liang shi 	变量是	c=1 d=1 t=18744
bian liang zhi 	变量值	c=4 d=2.43038 t=60364
bian liao 	边聊	c=1 d=6.732e-22 t=17463
bian ling 	边零	c=3 d=1.89137 t=60426
bian ma 	编码	c=34 d=1.82843 t=77668
bian ma qi 	编码器	c=1 d=1 t=73500
bian pang 	变胖	c=1 d=3.39469e-26 t=17463
bian qian 	便签	c=1 d=1 t=46674
bian shang 	边上	c=0 d=0.1 t=23422
bian shang ban 	边上班	c=2 d=1 t=50574
bian shui jiao 	变睡觉	c=1 d=1 t=66499
bian tian 	变天	c=1 d=7.43368e-12 t=17463
bian xie 	便携	c=3 d=1 t=21516
bian xie 	编写	c=4 d=1 t=72963
bian yi 	编译	c=29 d=3.26515 t=73713
bian yi ge 	编译个	c=1 d=1 t=25436
bian yi hou 	编译后	c=3 d=1.10331 t=34206
bian yi ji 	编译机	c=1 d=1 t=46680
bian yi qi 	编译器	c=6 d=1.86584 t=64891
bian yu 	便于	c=1 d=0.1 t=63829
bian yu wei hu 	便于维护	c=1 d=1 t=63830
bian zuo 	边做	c=1 d=6.76574e-22 t=17463
biao 	表	c=165 d=1.00001 t=78499
biao chi 	标尺	c=1 d=1 t=20522
biao da 	表达	c=7 d=1 t=68103
biao da shi 	表达式	c=36 d=2.40106 t=74661
biao dan 	表单	c=1 d=1 t=69846
biao dao shi 	表倒是	c=1 d=1 t=47563
biao de 	表的	c=2 d=1 t=34492
biao di 	表弟	c=1 d=1 t=26000
biao fen qu 	表分区	c=1 d=1.21193e-26 t=17463
biao fu wu 	表服务	c=1 d=1 t=51411
biao ge 	表格	c=4 d=1 t=75173
biao ji 	标记	c=1 d=1 t=33099
biao ji hang 	标记行	c=1 d=1 t=18042
biao ming 	表名	c=23 d=1 t=37866
biao ming 	表明	c=3 d=2.98506 t=17016
biao qian 	标签	c=58 d=7.76701 t=79697
biao qian an 	标签按	c=1 d=1 t=74704
biao qian de 	标签的	c=1 d=1 t=74697
biao qian ming 	标签名	c=2 d=1 t=51831
biao qian ming cheng 	标签名称	c=1 d=1 t=26922
biao qian ye 	标签页	c=1 d=1 t=19948
biao qing 	表情	c=4 d=0.1 t=80044
biao qing bao 	表情包	c=2 d=1 t=57571
biao qing ne 	表情呢	c=1 d=1 t=80045
biao shi 	标示	c=1 d=1.83943e-23 t=17463
biao shi 	标识	c=5 d=1.29671 t=72120
biao shi 	表示	c=42 d=1 t=74520
biao shu ju 	表数据	c=2 d=1 t=37285
biao ti 	标题	c=4 d=1.35169 t=79579
biao ti lan 	标题栏	c=1 d=7.00435e-18 t=17463
biao xian 	表现	c=2 d=1 t=57324
biao zheng 	表征	c=1 d=1 t=73939
biao zhi 	标志	c=15 d=1.90937 t=71943
biao zhi wei 	标志位	c=4 d=0.0116152 t=17463
biao zhong 	表中	c=4 d=1.31822 t=29983
biao zhu 	标注	c=6 d=2.85726 t=74482
biao zhun 	标准	c=9 d=1 t=73940
biao zi duan 	表字段	c=3 d=2.35742 t=39345
bie 	别	c=20 d=1.52365 t=79272
bie 	憋	c=1 d=1 t=47412
bie ba 	别把	c=1 d=1 t=28222
bie biao 	别表	c=1 d=1 t=32571
bie da 	别打	c=1 d=1 t=77525
bie da si 	别打死	c=1 d=0.00351752 t=17463
bie de 	别的	c=21 d=1.2466 t=74846
bie de pan 	别的盘	c=1 d=1 t=25217
bie de shi 	别的事	c=1 d=1.39937e-12 t=17463
bie duo 	别多	c=0 d=0.0794534 t=17463
bie duo xiang le 	别多想了	c=1 d=0.798516 t=17463
bie gan jue 	别感觉	c=1 d=1.38568e-14 t=17463
bie jie yi 	别介意	c=1 d=0.00878245 t=17463
bie ku 	别哭	c=3 d=1 t=67153
bie luan 	别乱	c=0 d=0.0540641 t=17463
bie luan xiang 	别乱想	c=2 d=1.48983 t=17463
bie mai 	别买	c=1 d=2.65018e-25 t=17463
bie ming 	别名	c=14 d=1 t=77415
bie nan guo 	别难过	c=1 d=0.486752 t=17463
bie nan shou 	别难受	c=1 d=1 t=75104
bie pa 	别怕	c=1 d=2.92134e-24 t=17463
bie rang 	别让	c=2 d=1 t=19377
bie rang ta 	别让她	c=1 d=0.763379 t=17463
bie ren 	别人	c=14 d=1 t=77240
bie shui 	别睡	c=2 d=8.28985e-22 t=17463
bie tan xiao pian yi 	别贪小便宜	c=1 d=0.551563 t=17463
bie ti 	别提	c=1 d=2.13015e-14 t=17463
bie ti le 	别提了	c=1 d=6.61127e-15 t=17463
bie wang ji 	别忘记	c=2 d=1 t=57281
bie wang le 	别忘了	c=1 d=8.02792e-05 t=17463
bie xian mu 	别羡慕	c=1 d=1 t=50824
bie zai 	别再	c=3 d=1 t=50782
bie zhe yang 	别这样	c=1 d=1 t=33783
bing 	并	c=37 d=1 t=79997
bing 	病	c=3 d=1 t=43032
bing ba 	并把	c=1 d=1 t=18032
bing bing 	冰冰	c=1 d=1 t=38748
bing bu 	并不	c=3 d=1 t=54353
bing bu hui 	并不会	c=1 d=1 t=55100
bing bu neng 	并不能	c=1 d=1 t=54912
bing bu pang 	并不胖	c=1 d=3.84538e-22 t=17463
bing bu shi 	并不是	c=4 d=1 t=68967
bing bu zhi dao 	并不知道	c=1 d=1 t=55756
bing chan sheng 	并产生	c=1 d=1 t=71653
bing chong xie 	并重写	c=1 d=1 t=73118
bing chuang jian 	并创建	c=1 d=1.8727e-28 t=17463
bing dai 	并带	c=1 d=1 t=74080
bing du 	病毒	c=1 d=1.29424e-05 t=17463
bing du ku 	病毒库	c=2 d=9.56223e-09 t=17463
bing fa 	并发	c=10 d=1 t=66418
bing fan hui 	并返回	c=1 d=0.000765486 t=17463
bing fang ru 	并放入	c=1 d=1 t=61476
bing fu ze 	并负责	c=1 d=1 t=54424
bing ji 	并集	c=2 d=1 t=68868
bing jia 	病假	c=1 d=1 t=75110
bing jiang 	并将	c=2 d=1 t=72392
bing le 	病了	c=1 d=0.0149956 t=17463
bing ma yong 	兵马俑	c=0 d=0.1 t=38553
bing mei 	并没	c=0 d=7.78511e-27 t=17463
bing mei you 	并没有	c=2 d=1 t=19499
bing miao shu 	并描述	c=1 d=1 t=45418
bing qi 	兵器	c=1 d=1 t=19677
bing qi lin 	冰淇淋	c=2 d=1 t=73352
bing qie 	并且	c=23 d=1 t=75248
bing ren 	病人	c=2 d=5.26289e-08 t=17463
bing xing 	并行	c=3 d=1 t=51526
bing yi 	并以	c=1 d=1 t=17754
bo 	伯	c=0 d=0.1 t=78210
bo 	薄	c=0 d=0.1 t=32856
bo hui 	驳回	c=15 d=1 t=30284
bo ke 	博客	c=8 d=1.97531 t=77536
bo ke yuan 	博客园	c=1 d=1 t=37359
bo tong 	博通	c=1 d=1 t=19171
bu 	不	c=122 d=0.374156 t=77514
bu 	步	c=4 d=1 t=73639
bu 	补	c=5 d=1 t=63102
bu 	部	c=1 d=1 t=65734
bu a 	不阿	c=0 d=7.98355e-29 t=17463
bu ai 	不爱	c=2 d=0.1 t=20049
bu ai le 	不爱了	c=1 d=1 t=20050
bu an quan 	不安全	c=5 d=1.5031 t=55150
bu ba ni 	不把你	c=1 d=1.27428e-28 t=17463
bu ban 	不办	c=1 d=1 t=16476
bu bang ni 	不帮你	c=1 d=9.08261e-16 t=17463
bu bao han 	不包含	c=2 d=1 t=66257
bu bao kao 	不报考	c=1 d=1 t=18539
bu bao kuo 	不包括	c=1 d=1 t=26070
bu bi 	不必	c=4 d=1 t=63465
bu bi yao 	不必要	c=4 d=1 t=57635
bu bian 	不便	c=1 d=1 t=66913
bu bian 	不变	c=3 d=1 t=66084
bu bu 	补补	c=3 d=1 t=77769
bu ce 	补测	c=1 d=1 t=36314
bu chang 	步长	c=2 d=1.956 t=65423
bu chang jian 	不常见	c=1 d=1.77895e-12 t=17463
bu cheng 	不成	c=1 d=1 t=19953
bu chi 	不吃	c=1 d=0.1 t=46183
bu chi 	不迟	c=1 d=1 t=17276
bu chi bao 	不吃饱	c=1 d=1 t=28244
bu chi dian 	不吃点	c=1 d=1 t=28242
bu chi le 	不吃了	c=1 d=1 t=77954
bu chi rou 	不吃肉	c=1 d=1 t=23491
bu chi yao 	不吃药	c=1 d=5.24289e-22 t=17463
bu chong 	补充	c=7 d=2.93674 t=43440
bu chong fu 	不重复	c=4 d=1.83941 t=69262
bu chong tu 	不冲突	c=2 d=1 t=46232
bu chong xin 	不重新	c=1 d=1 t=20474
bu chong zi liao 	补充资料	c=2 d=1.98511 t=43047
bu chu 	不出	c=2 d=0.1 t=69822
bu chu fa 	不触发	c=1 d=1 t=20527
bu chu qu 	不出去	c=1 d=1 t=24319
bu chuan 	不传	c=3 d=1.6157 t=26804
bu chuan ru 	不传入	c=1 d=0.000378233 t=17463
bu cun 	不存	c=3 d=1.34646 t=40429
bu cun fang zai 	不存放在	c=1 d=1 t=58884
bu cun zai 	不存在	c=14 d=1.00001 t=71871
bu cuo 	不错	c=12 d=1.00031 t=78867
bu cuo bu cuo 	不错不错	c=1 d=4.56663e-15 t=17463
bu da 	不大	c=2 d=1 t=40603
bu da 	不打	c=3 d=1.00003 t=46580
bu da qian 	不打钱	c=1 d=1 t=44965
bu da you xi 	不大游戏	c=1 d=8.33823e-10 t=17463
bu dai 	不带	c=1 d=1 t=49843
bu dao 	不到	c=5 d=1 t=48965
bu de 	不得	c=4 d=1 t=73293
bu deng 	不等	c=0 d=0.1 t=22011
bu deng lu 	不登录	c=1 d=1 t=73009
bu deng ni 	不等你	c=1 d=1 t=22012
bu diao tou fa 	不掉头发	c=1 d=1 t=39397
bu ding 	不定	c=1 d=1 t=59081
bu ding 	补丁	c=6 d=1 t=59080
bu ding yi 	不定义	c=1 d=1 t=59198
bu dong 	不动	c=0 d=0.1 t=66482
bu dong 	不懂	c=3 d=1 t=36228
bu dou 	不斗	c=1 d=2.25059e-14 t=17463
bu dou shi 	不都是	c=1 d=1 t=45973
bu dou zhe yang 	不都这样	c=1 d=1 t=75581
bu duan 	不断	c=2 d=1 t=69120
bu dui 	不对	c=13 d=1.00001 t=37548
bu dui 	部队	c=1 d=1 t=24981
bu dui jin 	不对劲	c=2 d=1 t=57573
bu dui wai 	不对外	c=1 d=1 t=53731
bu duo de 	不多的	c=2 d=1 t=44816
bu duo le 	不多了	c=1 d=1 t=43418
bu en ne 	不恩呢	c=1 d=1 t=62824
bu er 	布尔	c=0 d=0.1 t=47710
bu er biao da shi 	布尔表达式	c=1 d=1 t=63011
bu er dai shu 	布尔代数	c=1 d=1 t=63059
bu er nuo 	布尔诺	c=0 d=0.1 t=58807
bu er nuo na ge 	布尔诺那个	c=9 d=2.00579 t=71735
bu er zhi 	布尔值	c=2 d=1.97531 t=47716
bu fa 	补发	c=2 d=1.99005 t=27746
bu fa shao 	不发烧	c=1 d=1 t=77248
bu fa sheng 	不发生	c=1 d=4.053e-23 t=17463
bu fen 	部分	c=18 d=1.24103 t=62576
bu fu dong 	不浮动	c=1 d=1 t=18450
bu fu he 	不符合	c=1 d=1 t=76997
bu fu xi 	不复习	c=1 d=1 t=18962
bu gai 	不该	c=1 d=1 t=30995
bu gan 	不干	c=2 d=1.01186 t=38409
bu gan 	不敢	c=2 d=0.1 t=77243
bu gan dang 	不敢当	c=2 d=9.16082e-21 t=17463
bu gan jing 	不干净	c=1 d=1 t=39332
bu gan mai 	不敢买	c=1 d=1.41733e-15 t=17463
bu gan shuo sha 	不敢说啥	c=1 d=2.46463e-24 t=17463
bu gan xi 	不敢洗	c=1 d=1 t=77244
bu gao 	不高	c=1 d=1 t=53107
bu gao su 	不告诉	c=1 d=3.33325e-17 t=17463
bu gei 	不给	c=3 d=1 t=47862
bu gei ni 	不给你	c=5 d=1.44549 t=78830
bu gei ni kan 	不给你看	c=1 d=1 t=78470
bu gei qian 	不给钱	c=1 d=1 t=46447
bu gei wo 	不给我	c=3 d=1 t=29840
bu gen 	不跟	c=0 d=0.1 t=38509
bu gen huan 	不跟还	c=1 d=1 t=38510
bu gen ta 	不跟他	c=1 d=6.03383e-28 t=17463
bu gen wo 	不跟我	c=1 d=1 t=45577
bu geng xin 	不更新	c=2 d=1.99005 t=15188
bu gou 	不够	c=4 d=1 t=78085
bu gou hua 	不够花	c=1 d=6.04945e-29 t=17463
bu gou xuan 	不勾选	c=1 d=1 t=23365
bu guai 	不乖	c=0 d=0.1 t=19684
bu guan 	不管	c=6 d=1 t=77381
bu guan xin 	不关心	c=1 d=1 t=58420
bu gui 	不贵	c=0 d=1.16583e-12 t=17463
bu gui a 	不贵啊	c=1 d=1.17168e-11 t=17463
bu guo 	不过	c=15 d=1.00865 t=76015
bu guo fen 	不过分	c=1 d=1 t=24088
bu guo lai 	不过来	c=0 d=0.1 t=36629
bu guo qu 	不过去	c=1 d=1 t=43382
bu hao 	不好	c=14 d=1 t=77999
bu hao chi 	不好吃	c=2 d=1 t=41119
bu hao kan 	不好看	c=4 d=1 t=46803
bu hao shi 	不好使	c=1 d=1.45296e-13 t=17463
bu hao shi 	不好时	c=1 d=1.44572e-13 t=17463
bu hao yi si 	不好意思	c=2 d=1 t=40880
bu hao yong 	不好用	c=2 d=1.48404e-19 t=17463
bu hao zhao 	不好找	c=2 d=1 t=79380
bu he 	不合	c=0 d=4.28886e-13 t=17463
bu he 	不喝	c=1 d=1 t=35923
bu he bing 	不合并	c=1 d=1 t=74187
bu he fa 	不合法	c=5 d=1.86502 t=47609
bu he jiu 	不喝酒	c=1 d=9.60431e-26 t=17463
bu he ni 	不合你	c=2 d=1 t=20763
bu he shi 	不合适	c=1 d=1 t=68993
bu hong 	不哄	c=1 d=6.01109e-13 t=17463
bu huan 	不换	c=3 d=1 t=44567
bu huan ying 	不欢迎	c=1 d=0.0306538 t=17463
bu hui 	不会	c=42 d=1.48199 t=77483
bu hui 	不回	c=1 d=2.33234e-22 t=17463
bu hui ba 	不会吧	c=4 d=1 t=39130
bu hui bei 	不会被	c=2 d=1 t=65452
bu hui dai lai 	不会带来	c=0 d=0.1 t=66414
bu hui de 	不会得	c=1 d=1 t=41416
bu hui de 	不会的	c=7 d=1.00454 t=41195
bu hui jia 	不回家	c=0 d=0.1 t=78331
bu hui la 	不会啦	c=1 d=4.89775e-15 t=17463
bu hui qu 	不会去	c=3 d=1 t=37483
bu hui qu 	不回去	c=2 d=0.0526021 t=17463
bu hui qu le 	不回去了	c=2 d=0.00798652 t=17463
bu hui sheng wa 	不会生娃	c=1 d=1 t=23760
bu hui shi 	不会是	c=3 d=1 t=19166
bu hui xie 	不会写	c=1 d=1 t=75268
bu hui ye qu 	不会也去	c=1 d=0.000198445 t=17463
bu hui you 	不会有	c=0 d=0.0379083 t=17463
bu hui you de 	不会有的	c=1 d=0.380983 t=17463
bu huo 	捕获	c=2 d=1.00164 t=21143
bu huo dong 	不活动	c=1 d=1 t=46911
bu huo yue 	不活跃	c=1 d=1 t=51999
bu ji 	不急	c=3 d=1 t=21741
bu ji de 	不记得	c=1 d=1 t=27162
bu ji lu 	不记录	c=1 d=1 t=74654
bu ji wu duan 	不机务段	c=1 d=0.970446 t=17463
bu jia 	不加	c=2 d=1 t=28152
bu jia ban 	不加班	c=2 d=1 t=45966
bu jian 	不见	c=4 d=1 t=71479
bu jian 	部件	c=3 d=1.94176 t=57395
bu jian rong 	不兼容	c=3 d=1 t=58007
bu jian yi 	不建议	c=2 d=1 t=71482
bu jiang 	不将	c=1 d=1 t=20435
bu jiang 	不讲	c=0 d=0.1 t=15082
bu jiang wu de 	不讲伍德	c=2 d=1.98511 t=15086
bu jiao 	补觉	c=1 d=1.12631e-17 t=17463
bu jie 	不接	c=1 d=1 t=18446
bu jie hun 	不结婚	c=1 d=1 t=22812
bu jie shou 	不接受	c=1 d=1 t=59462
bu jie yi 	不介意	c=1 d=1 t=37834
bu jin 	不仅	c=1 d=1 t=55213
bu jin jin 	不仅仅	c=1 d=1 t=64774
bu jin xing 	不进行	c=3 d=1.00006 t=43750
bu jing chang 	不经常	c=1 d=1 t=67968
bu jiu 	不久	c=3 d=1 t=54173
bu jiu 	不就	c=1 d=1 t=75575
bu jiu qu 	不就去	c=1 d=1 t=20805
bu jiu shi 	不就是	c=6 d=1.00244 t=79644
bu ju 	布局	c=6 d=1 t=38924
bu ju er chong tian 	布局二重天	c=1 d=2.29527e-10 t=17463
bu ju you 	不具有	c=1 d=1 t=70673
bu ka 	不卡	c=1 d=1.00395e-17 t=17463
bu kai 	不开	c=0 d=0.1 t=17938
bu kai men 	不开门	c=1 d=1 t=75531
bu kai xin 	不开心	c=4 d=1 t=48427
bu kan 	不看	c=1 d=5.6493e-18 t=17463
bu kao 	不考	c=1 d=1 t=21829
bu kao lv 	不考虑	c=3 d=1 t=40424
bu ke 	不可	c=6 d=1.99005 t=62794
bu ke bian 	不可变	c=1 d=1 t=71433
bu ke neng 	不可能	c=4 d=1 t=75565
bu ke yi 	不可以	c=4 d=1.95123 t=62773
bu ke yong 	不可用	c=1 d=1 t=42491
bu kuai le 	不快乐	c=1 d=1 t=20994
bu kui 	不亏	c=1 d=1 t=41930
bu kui 	不愧	c=1 d=1 t=27911
bu kun 	不困	c=2 d=0.1 t=47489
bu lai 	不来	c=5 d=1.00031 t=40676
bu lai le 	不来了	c=1 d=1 t=79140
bu lao 	不老	c=1 d=1 t=48459
bu li jie 	不理解	c=0 d=0.1 t=41227
bu li ta 	不理她	c=1 d=0.00264522 t=17463
bu li wo 	不理我	c=7 d=1 t=50832
bu liao 	不了	c=13 d=1.5653 t=40608
bu ling 	补零	c=5 d=1.94176 t=36782
bu ling qu 	不领取	c=1 d=1 t=49014
bu luan ma 	不乱码	c=1 d=1 t=73578
bu ma 	不吗	c=1 d=1.29759e-06 t=17463
bu mai 	不买	c=1 d=9.07952e-12 t=17463
bu mai 	不卖	c=1 d=5.49279e-11 t=17463
bu mang 	不忙	c=2 d=1.86502 t=33619
bu men 	部门	c=11 d=1 t=76784
bu ming 	不明	c=1 d=1 t=35168
bu nei xiang 	不内向	c=1 d=2.29801e-24 t=17463
bu neng 	不能	c=59 d=1 t=74903
bu nian 	不念	c=0 d=0.1 t=34992
bu o cuo 	不哦错	c=1 d=1 t=80007
bu pa 	不怕	c=2 d=1.26861e-05 t=17463
bu pan duan 	不判断	c=1 d=1 t=37076
bu pang 	不胖	c=0 d=3.8262e-23 t=17463
bu pei 	不赔	c=1 d=9.23431e-05 t=17463
bu pian ke 	不偏科	c=1 d=0.0217096 t=17463
bu pian ni 	不骗你	c=2 d=0.00488376 t=17463
bu piao liang 	不漂亮	c=0 d=0.00655462 t=17463
bu pin 	补品	c=2 d=1 t=38414
bu qi 	不起	c=0 d=0.000148848 t=17463
bu qi 	不齐	c=1 d=1.09501 t=22848
bu qi lai 	不起来	c=0 d=0.1 t=23187
bu qi zuo yong 	不起作用	c=1 d=1 t=25269
bu qian 	不签	c=1 d=1 t=79757
bu qie shi ji 	不切实际	c=1 d=1 t=69134
bu qin 	不亲	c=1 d=1 t=23042
bu qing chu 	不清楚	c=7 d=1 t=79428
bu qu 	不去	c=13 d=1 t=56047
bu qu fen 	不区分	c=1 d=1 t=61128
bu quan 	不全	c=2 d=1.05366 t=43748
bu quan 	补全	c=5 d=1 t=78187
bu que 	不缺	c=1 d=0.216536 t=17463
bu que ding 	不确定	c=3 d=1 t=58167
bu ran 	不然	c=11 d=1 t=78256
bu rang 	不让	c=2 d=1 t=47328
bu rang ni 	不让你	c=1 d=1 t=40640
bu ren shi 	不认识	c=1 d=1 t=29271
bu ru 	不如	c=1 d=4.10363e-22 t=17463
bu ru 	补入	c=4 d=1 t=28536
bu san 	不散	c=1 d=2.16381e-22 t=17463
bu shan 	不删	c=1 d=1 t=18477
bu shan 	不闪	c=1 d=1 t=30634
bu shan shuo 	不闪烁	c=1 d=1 t=46916
bu shang 	不上	c=3 d=1.00002 t=42519
bu shang ban 	不上班	c=2 d=1 t=76107
bu shang xian 	不上限	c=1 d=1 t=18920
bu shen 	补肾	c=2 d=1.09585 t=21659
bu sheng 	不胜	c=2 d=1 t=27258
bu shi 	不是	c=158 d=1.02227 t=79278
bu shi 	不适	c=2 d=0.238208 t=17463
bu shi de 	不适的	c=1 d=1.72696e-16 t=17463
bu shi he 	不适合	c=1 d=1 t=57786
bu shi hen 	不是很	c=0 d=1.93875e-25 t=17463
bu shi hen qing chu 	不是很清楚	c=1 d=1.94847e-24 t=17463
bu shi shi 	不是事	c=1 d=1.88081e-20 t=17463
bu shi ting duo 	不是挺多	c=1 d=3.45139e-15 t=17463
bu shi wo 	不是我	c=1 d=1 t=28133
bu shi yong 	不适用	c=3 d=1.0216 t=64821
bu shu 	不熟	c=1 d=3.62021e-18 t=17463
bu shu fu 	不舒服	c=5 d=1 t=49466
bu shu ru 	不输入	c=2 d=1 t=29391
bu shu yu 	不属于	c=2 d=1 t=59314
bu shui 	不睡	c=3 d=2.54851e-06 t=17463
bu shun li 	不顺利	c=1 d=1 t=45828
bu shuo 	不说	c=1 d=4.8091e-06 t=17463
bu shuo hua 	不说话	c=1 d=1.00001 t=40482
bu shuo le 	不说了	c=1 d=9.56323e-05 t=17463
bu suan 	不算	c=2 d=1 t=45923
bu tai 	不太	c=4 d=1 t=79017
bu tai dong 	不太懂	c=1 d=1 t=41201
bu tai hao ba 	不太好吧	c=1 d=3.49807e-26 t=17463
bu tai hui 	不太会	c=0 d=0.1 t=16413
bu ti 	不提	c=1 d=1 t=37517
bu tian xie 	补填写	c=1 d=1 t=15794
bu tiao 	不挑	c=1 d=1 t=40285
bu ting hua 	不听话	c=1 d=0.1 t=33674
bu tong 	不同	c=32 d=1.00012 t=71001
bu tong guo 	不通过	c=1 d=1 t=34289
bu tong zhi 	不通知	c=1 d=1 t=28433
bu tou teng 	不头疼	c=1 d=1 t=77515
bu tui jian 	不推荐	c=6 d=1.89137 t=73997
