# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	15081
#@/user_id	24769514-98c0-4d1f-9fa1-759af48b6715
a 	啊	c=134 d=2.32908 t=15081
bu zuo le 	不做了	c=1 d=1.68461e-18 t=15081
ca chu 	擦出	c=1 d=6.18994e-05 t=15081
cai 	才	c=0 d=1.04852e-29 t=15081
cai 	猜	c=1 d=1.35381e-05 t=15081
cai de 	猜的	c=1 d=1.05615e-25 t=15081
cai hao 	采号	c=5 d=1.17451e-10 t=15081
cai hua le 	才花了	c=2 d=2.11284e-28 t=15081
cai ji qi 	采集器	c=1 d=3.5651e-14 t=15081
cai neng 	才能	c=2 d=3.96732e-05 t=15081
cai zhi dao 	才知道	c=1 d=8.53014e-13 t=15081
can 	惨	c=1 d=5.59499e-22 t=15081
can jia 	参加	c=1 d=6.75287e-29 t=15081
can jian 	参见	c=1 d=4.6524e-28 t=15081
can kao 	参考	c=4 d=6.95124e-07 t=15081
can shu 	参数	c=6 d=0.356738 t=15081
cang ku 	仓库	c=6 d=1.34902 t=15081
cao zuo 	操作	c=7 d=0.00103272 t=15081
ce 	测	c=2 d=0.00207107 t=15081
ce shi 	测试	c=18 d=0.686718 t=15081
ceng 	层	c=1 d=0.127454 t=15081
ceng 	曾	c=1 d=0.0889216 t=15081
ceng 	蹭	c=1 d=1.00051e-06 t=15081
ceng ci 	层次	c=1 d=0.000309671 t=15081
cha 	差	c=1 d=1.39027e-23 t=15081
cha 	查	c=3 d=3.89077e-13 t=15081
cha bu duo 	差不多	c=4 d=0.00307331 t=15081
cha dao 	查到	c=1 d=0.00904991 t=15081
cha fen 	差分	c=3 d=0.112018 t=15081
cha fen 	查分	c=2 d=5.21141e-10 t=15081
cha jian 	插件	c=24 d=0.929856 t=15081
cha kan 	查看	c=16 d=0.205352 t=15081
cha ping 	差评	c=1 d=2.8527e-09 t=15081
cha shang 	插上	c=1 d=1.65355e-05 t=15081
cha xuan 	茶轩	c=1 d=5.92361e-17 t=15081
cha xun 	查询	c=22 d=0.000208619 t=15081
cha xun tiao jian 	查询条件	c=1 d=5.01389e-26 t=15081
cha zhao 	查找	c=2 d=0.000757869 t=15081
chai fen 	拆分	c=1 d=1.47975e-22 t=15081
chang 	唱	c=1 d=1.01335e-09 t=15081
chang 	长	c=1 d=9.99117e-20 t=15081
chang du 	长度	c=1 d=5.81225e-29 t=15081
chang ge 	唱歌	c=4 d=1.40503e-06 t=15081
chang jian 	常见	c=1 d=5.48141e-16 t=15081
chang jing 	场景	c=1 d=1.79341e-19 t=15081
chang liang 	常量	c=1 d=0.000126534 t=15081
chang yong 	常用	c=2 d=0.0871609 t=15081
chao 	超	c=1 d=7.82147e-22 t=15081
chao lian jie 	超链接	c=2 d=1.26514e-23 t=15081
chao shen 	超神	c=1 d=0.00315111 t=15081
chao shi 	超市	c=0 d=1.5994e-26 t=15081
che 	扯	c=0 d=5.08534e-17 t=15081
che 	澈	c=0 d=5.11083e-17 t=15081
che 	车	c=2 d=1.34556e-20 t=15081
che piao 	车票	c=1 d=0.0177743 t=15081
che xiao 	撤销	c=2 d=0.000464291 t=15081
chen 	趁	c=1 d=1.64811e-25 t=15081
cheng 	成	c=15 d=0.0153891 t=15081
cheng cheng 	成城	c=4 d=4.65132e-15 t=15081
cheng cheng 	成成	c=5 d=0.0372538 t=15081
cheng du 	成都	c=11 d=0.00365434 t=15081
cheng gong 	成功	c=12 d=0.0190829 t=15081
cheng kao 	成考	c=1 d=2.14265e-24 t=15081
cheng ren 	成人	c=1 d=2.21897e-24 t=15081
cheng ren 	承认	c=3 d=3.07098e-22 t=15081
cheng shan lu 	成山路	c=2 d=1.99026e-09 t=15081
cheng shen 	成神	c=1 d=0.000536738 t=15081
cheng shu 	成熟	c=0 d=4.48779e-17 t=15081
cheng tian 	成天	c=2 d=2.87396e-08 t=15081
cheng wei 	称为	c=1 d=2.04628e-12 t=15081
cheng xu 	程序	c=2 d=0.017163 t=15081
cheng xu yuan 	程序员	c=1 d=3.21302e-26 t=15081
chi 	吃	c=18 d=0.311446 t=15081
chi ba 	吃吧	c=1 d=1.03703e-16 t=15081
chi chu 	吃出	c=1 d=8.41173e-25 t=15081
chi dao 	迟到	c=1 d=2.013e-25 t=15081
chi de 	吃得	c=1 d=1.0507e-23 t=15081
chi dian 	吃点	c=1 d=6.19732e-19 t=15081
chi diao 	吃掉	c=1 d=8.66791e-25 t=15081
chi fan 	吃饭	c=2 d=4.05429e-25 t=15081
chi ge 	吃个	c=1 d=6.70777e-09 t=15081
chi guo 	吃过	c=1 d=2.17207e-08 t=15081
chi huo 	吃货	c=0 d=1.02765e-20 t=15081
chi le 	吃了	c=0 d=6.92146e-26 t=15081
chi sha 	吃啥	c=1 d=0.00413782 t=15081
chi shui guo 	吃水果	c=1 d=1.25706e-15 t=15081
chi tu 	吃土	c=1 d=1.05525e-15 t=15081
chi wan 	吃完	c=1 d=0.105928 t=15081
chi wo 	吃我	c=1 d=4.59749e-06 t=15081
chi yi dian 	吃一点	c=1 d=2.13602e-17 t=15081
chong 	冲	c=1 d=0.0473589 t=15081
chong 	虫	c=1 d=8.4539e-25 t=15081
chong 	重	c=3 d=0.0317456 t=15081
chong dian 	充电	c=1 d=2.61072e-25 t=15081
chong ding xiang 	重定向	c=1 d=3.96869e-11 t=15081
chong duo 	充多	c=0 d=4.10573e-29 t=15081
chong duo shao 	充多少	c=1 d=4.12631e-28 t=15081
chong na lai de 	冲拿来的	c=1 d=6.35961e-29 t=15081
chong ni 	冲你	c=1 d=2.74981e-18 t=15081
chong qi 	重启	c=1 d=0.20089 t=15081
chong tu 	冲突	c=1 d=2.05367e-25 t=15081
chong xie 	重写	c=2 d=1.35893e-12 t=15081
chong xin 	重新	c=4 d=0.00554422 t=15081
chong zhuang 	充装	c=1 d=1 t=14390
chou 	臭	c=1 d=1 t=14422
chou chang 	惆怅	c=1 d=3.77402e-13 t=15081
chou jiang 	抽奖	c=1 d=3.46386e-28 t=15081
chou kong 	抽空	c=1 d=1 t=14477
chou si 	丑死	c=1 d=3.04056e-24 t=15081
chu 	出	c=1 d=1.33434e-11 t=15081
chu 	除	c=3 d=0.0145339 t=15081
chu ban 	出版	c=1 d=6.19943e-23 t=15081
chu ban 	初版	c=1 d=6.2305e-23 t=15081
chu cuo 	出错	c=6 d=0.0019625 t=15081
chu dan 	出单	c=2 d=6.02704e-07 t=15081
chu dui xiang 	处对象	c=1 d=8.86137e-20 t=15081
chu fa 	出发	c=1 d=2.36228e-25 t=15081
chu fa 	除法	c=1 d=7.77848e-16 t=15081
chu fei 	除非	c=1 d=6.04534e-21 t=15081
chu kou 	出口	c=0 d=5.79724e-29 t=15081
chu lai 	出来	c=5 d=0.328721 t=15081
chu lei 	触雷	c=1 d=3.91027e-13 t=15081
chu li 	处理	c=10 d=0.381117 t=15081
chu li qi 	处理器	c=2 d=6.22414e-11 t=15081
chu qi 	初期	c=1 d=4.2608e-23 t=15081
chu qin 	出勤	c=1 d=2.35907e-09 t=15081
chu qu 	出去	c=5 d=1.38236 t=15081
chu shi 	初始	c=4 d=0.00484407 t=15081
chu shi 	初时	c=1 d=1.06676e-25 t=15081
chu shi hua 	初始化	c=10 d=0.00211225 t=15081
chu xian 	出现	c=1 d=1.5816e-11 t=15081
chu yuan 	出院	c=1 d=2.75215e-28 t=15081
chuan 	串	c=1 d=2.45451e-05 t=15081
chuan 	川	c=0 d=5.00877e-15 t=15081
chuan 	穿	c=1 d=2.70326e-23 t=15081
chuan can 	传参	c=1 d=1 t=13492
chuan de 	穿的	c=0 d=3.03013e-14 t=15081
chuan di 	传递	c=1 d=0.0378169 t=15081
chuan ran 	传染	c=1 d=4.96231e-22 t=15081
chuan ru 	传入	c=8 d=2.96912 t=13818
chuan shang 	穿上	c=1 d=4.71709e-14 t=15081
chuang 	床	c=2 d=0.778801 t=15081
chuang dian 	床垫	c=1 d=1.04852e-28 t=15081
chuang jian 	创建	c=15 d=0.000256162 t=15081
chuang kou 	窗口	c=18 d=2.33639e-13 t=15081
chuang sha 	窗纱	c=1 d=1.53141e-14 t=15081
chuang shang 	床上	c=2 d=0.771052 t=15081
chuang zao 	创造	c=1 d=4.27924e-15 t=15081
chui ni 	锤你	c=1 d=4.33491e-20 t=15081
chui zi 	锤子	c=1 d=3.98994e-15 t=15081
ci 	次	c=1 d=0.191642 t=15081
ci 	此	c=3 d=0.455208 t=15081
ci 	词	c=2 d=1.52964e-22 t=15081
ci cao zuo 	此操作	c=2 d=6.12835e-05 t=15081
ci cha jian 	此插件	c=1 d=1 t=14946
ci chu 	此处	c=1 d=0.00748391 t=15081
ci fang fa 	此方法	c=2 d=1.87446e-13 t=15081
ci hui 	词汇	c=1 d=1 t=15071
ci jing li 	此经历	c=1 d=4.00721e-07 t=15081
ci ku 	词库	c=3 d=1.84167 t=15081
ci lei 	此类	c=1 d=8.64847e-28 t=15081
ci pan 	磁盘	c=1 d=5.64642e-12 t=15081
ci wen jian 	此文件	c=0 d=7.52398e-08 t=15081
ci wen jian jia 	此文件夹	c=1 d=7.5617e-07 t=15081
ci xiu shi fu 	此修饰符	c=1 d=1.23196e-13 t=15081
ci ye wu 	此业务	c=1 d=1 t=13098
ci zhi 	此值	c=1 d=1 t=13775
ci zhu jie 	此注解	c=1 d=8.47722e-28 t=15081
cong 	从	c=5 d=0.286528 t=15081
cong shi 	从事	c=2 d=6.73793e-07 t=15081
cong xin 	从新	c=3 d=2.37947e-11 t=15081
cou he 	凑合	c=1 d=8.48396e-15 t=15081
cui 	催	c=1 d=6.10713e-23 t=15081
cui pa 	催怕	c=1 d=6.32467e-23 t=15081
cun 	村	c=2 d=1.48531e-10 t=15081
cun chu 	存储	c=3 d=0.192665 t=15081
cun kuan 	存款	c=10 d=1.1887e-06 t=15081
cun zai 	存在	c=7 d=0.0953692 t=15081
cuo 	搓	c=1 d=1.98614e-14 t=15081
cuo 	错	c=1 d=0.000488095 t=15081
cuo guo 	错过	c=1 d=1 t=13204
cuo le 	错了	c=3 d=7.04081e-19 t=15081
cuo luan 	错乱	c=1 d=7.34071e-11 t=15081
cuo po 	搓破	c=1 d=2.8044e-14 t=15081
cuo wei 	错位	c=1 d=7.79464e-11 t=15081
cuo wu 	错误	c=12 d=0.199888 t=15081
cuo wu xin xi 	错误信息	c=1 d=0.000916453 t=15081
da 	哒	c=1 d=9.26451e-14 t=15081
da 	大	c=7 d=0.011915 t=15081
da 	打	c=8 d=0.599759 t=15081
da bai 	打败	c=1 d=1.14392e-23 t=15081
da ban 	打扮	c=1 d=3.46661e-15 t=15081
da bu 	打不	c=0 d=3.08651e-25 t=15081
da bu zhao 	打不找	c=1 d=3.10199e-24 t=15081
da chang tui 	大长腿	c=2 d=1.66859e-24 t=15081
da che 	打车	c=1 d=8.73539e-28 t=15081
da chuang 	大床	c=1 d=1.40524e-06 t=15081
da chuang fang 	大床房	c=1 d=1.53037e-06 t=15081
da cuo 	打错	c=1 d=9.46294e-28 t=15081
da cuo le 	打错了	c=1 d=9.343e-25 t=15081
da di 	打的	c=1 d=1.42715e-08 t=15081
da dian hua 	打电话	c=1 d=3.12454e-21 t=15081
da fa 	打法	c=0 d=1.09622e-23 t=15081
da fa guan 	大法官	c=1 d=6.48809e-29 t=15081
da fa shi 	大法师	c=2 d=1.22244e-16 t=15081
da fa shi da fa shi dui fang 	大法师大法师对方	c=1 d=1.16342e-16 t=15081
da fei ji 	打飞机	c=0 d=1.08978e-28 t=15081
da fen jie ling 	大分界岭	c=0 d=4.4855e-11 t=15081
da fu 	大幅	c=0 d=7.16678e-24 t=15081
da fu ke ji 	大富科技	c=0 d=5.65411e-29 t=15081
da gai 	大概	c=1 d=0.151072 t=15081
da ge 	打个	c=1 d=3.30233e-25 t=15081
da gong 	打工	c=1 d=9.70776e-05 t=15081
da gong ren 	打工人	c=1 d=6.72513e-10 t=15081
da guo 	打过	c=2 d=1.11503e-08 t=15081
da hao 	打好	c=1 d=6.54104e-07 t=15081
da hui 	打会	c=1 d=0.00279479 t=15081
da jia kan 	大家看	c=0 d=4.83732e-17 t=15081
da jian 	搭建	c=5 d=0.0216536 t=15081
da jie fang 	搭街坊	c=0 d=0.193239 t=14939
da jie jie 	大姐姐	c=1 d=4.88843e-22 t=15081
da ka 	打卡	c=1 d=3.74788e-14 t=15081
da kai 	打开	c=19 d=0.166842 t=15081
da kai de 	打开的	c=3 d=1.09732e-23 t=15081
da kui 	大亏	c=1 d=0.562705 t=15081
da lian 	大连	c=1 d=1.65153e-20 t=15081
da lu kuai 	大陆块	c=0 d=0.1 t=14938
da ni 	打你	c=3 d=1.56102e-05 t=15081
da pei 	搭配	c=2 d=4.35873e-15 t=15081
da quan 	大全	c=1 d=2.41213e-06 t=15081
da rao 	打扰	c=0 d=5.43148e-27 t=15081
da rao wo 	打扰我	c=1 d=5.45871e-26 t=15081
da shen me 	打什么	c=1 d=1 t=13431
da shi da fei 	大是大非	c=1 d=1.88145e-24 t=15081
da shu jia fa 	大数加法	c=0 d=2.40836e-18 t=15081
da si 	打死	c=1 d=0.000349997 t=15081
da suan 	打算	c=1 d=1.76696e-11 t=15081
da wo 	打我	c=4 d=1.71519e-11 t=15081
da xiao 	大小	c=2 d=9.21918e-16 t=15081
da xiao xie 	大小写	c=1 d=1 t=13352
da xie 	大写	c=1 d=1 t=13441
da xiong 	大熊	c=1 d=2.83114e-08 t=15081
da yi 	大意	c=0 d=0.1 t=15050
da yi le 	大意了	c=1 d=1 t=15051
da yi ma 	大姨妈	c=1 d=2.21211e-17 t=15081
da yin 	打印	c=1 d=0.169483 t=15081
da you xi 	打游戏	c=4 d=0.0587448 t=15081
da za 	打杂	c=1 d=0.01649 t=15081
da zhe 	打折	c=1 d=1.0209e-08 t=15081
da zhen 	打针	c=1 d=0.0151463 t=15081
da zhuan 	大专	c=2 d=0.00628242 t=15081
da zi 	打字	c=1 d=4.64765e-16 t=15081
dai 	带	c=6 d=0.0238732 t=15081
dai 	待	c=1 d=2.0385e-26 t=15081
dai biao 	代表	c=2 d=1.52669e-26 t=15081
dai bu qi 	带不起	c=1 d=0.00149594 t=15081
dai dian 	带点	c=1 d=4.48932e-20 t=15081
dai dui 	带队	c=1 d=9.1817e-26 t=15081
dai fu 	代付	c=1 d=2.04871e-26 t=15081
dai fu kuan 	代付款	c=0 d=0.1 t=14168
dai fu que ren 	带付确认	c=1 d=2.02833e-26 t=15081
dai ge 	戴个	c=1 d=4.65071e-14 t=15081
dai hui 	带回	c=2 d=3.68516e-19 t=15081
dai hui lai 	带回来	c=2 d=0.479505 t=15081
dai kuan 	贷款	c=2 d=2.08224e-21 t=15081
dai kuan guan li 	贷款管理	c=1 d=1 t=14551
dai kuan jiu fen 	贷款纠纷	c=0 d=8.97513e-24 t=15081
dai lai 	带来	c=1 d=1.16702e-23 t=15081
dai li 	代理	c=4 d=1.81088e-06 t=15081
dai li fei 	代理费	c=0 d=0.1 t=14778
dai ma 	代码	c=15 d=0.0365618 t=15081
dai mai 	代买	c=1 d=0.0300468 t=15081
dai mi ma 	带密码	c=1 d=1.35635e-27 t=15081
dai ni 	带你	c=1 d=0.00332928 t=15081
dai shang 	带上	c=1 d=5.5042e-06 t=15081
dai shuo 	待说	c=0 d=5.13295e-09 t=15081
dai shuo ming 	待说明	c=1 d=5.15868e-08 t=15081
dai wo 	带我	c=1 d=0.0031354 t=15081
dai yong 	代用	c=1 d=9.37706e-09 t=15081
dai you 	带有	c=2 d=0.00164502 t=15081
dai zhe 	带着	c=1 d=1.45722e-18 t=15081
dai zhe 	戴着	c=2 d=1.39986e-13 t=15081
dan 	但	c=3 d=1.63529e-07 t=15081
dan 	单	c=1 d=1 t=14576
dan 	淡	c=1 d=1.0116e-18 t=15081
dan bao 	担保	c=1 d=2.48771e-16 t=15081
dan du 	单独	c=1 d=1.40128e-28 t=15081
dan huan shi 	但还是	c=1 d=1.38474e-06 t=15081
dan ji 	单机	c=2 d=4.6446e-24 t=15081
dan ni 	但你	c=1 d=1 t=15017
dan qian ti 	但前提	c=1 d=1.72843e-26 t=15081
dan shi 	但是	c=2 d=7.19413e-09 t=15081
dan wo 	但我	c=1 d=3.18549e-13 t=15081
dan zhe 	单者	c=0 d=8.07091e-10 t=15081
dan zhe ba 	单者吧	c=1 d=8.11136e-09 t=15081
dan zhuang 	淡妆	c=1 d=3.61025e-15 t=15081
dang 	当	c=16 d=0.0530865 t=15081
dang ban lang 	当伴郎	c=1 d=0.000160054 t=15081
dang bing 	当兵	c=3 d=2.07924e-26 t=15081
dang dian deng pao 	当电灯泡	c=1 d=0.000152248 t=15081
dang huo 	党祸	c=0 d=0.1 t=13283
dang huo qu dao 	党祸去到	c=1 d=1 t=13284
dang ji ba 	当几把	c=1 d=0.00319873 t=15081
dang qian 	当前	c=9 d=0.0694635 t=15081
dang ran 	当然	c=1 d=2.60354e-22 t=15081
dang shi 	当时	c=1 d=0.66365 t=15081
dang tian 	当天	c=1 d=3.41588e-12 t=15081
dang tian de 	当天的	c=1 d=3.43301e-11 t=15081
dang wo 	当我	c=0 d=1.70391e-06 t=15081
dao 	刀	c=5 d=5.94278e-23 t=15081
dao 	到	c=23 d=0.167248 t=15081
dao 	盗	c=0 d=2.39179e-25 t=15081
dao chu 	导出	c=18 d=0.110251 t=15081
dao dan 	到单	c=1 d=0.0342181 t=15081
dao de 	到的	c=1 d=1 t=14139
dao de 	道德	c=1 d=1 t=13114
dao di 	到底	c=1 d=4.30289e-21 t=15081
dao fang zi 	到房子	c=1 d=0.00216573 t=15081
dao hang lan 	导航栏	c=1 d=2.24363e-07 t=15081
dao jia 	到家	c=1 d=1.49335e-12 t=15081
dao le 	到了	c=4 d=1.80491e-06 t=15081
dao lu shang 	道路上	c=0 d=2.62747e-13 t=15081
dao mu qian 	到目前	c=1 d=1.54255e-11 t=15081
dao qie an 	盗窃案	c=0 d=9.20233e-24 t=15081
dao ru 	导入	c=7 d=2.43132e-11 t=15081
dao ru de 	到入的	c=1 d=7.11626e-28 t=15081
dao shi 	倒是	c=4 d=0.0277408 t=15081
dao shi hou 	到时候	c=8 d=0.00169512 t=15081
dao tu 	倒吐	c=1 d=1 t=15024
dao tu 	导图	c=1 d=1 t=15025
dao wo 	到我	c=1 d=1.75246e-12 t=15081
dao wo tu 	盗我图	c=1 d=2.40378e-24 t=15081
dao yao hua lu 	刀耀华路	c=1 d=2.00746e-22 t=15081
dao zhang 	到帐	c=1 d=2.62069e-11 t=15081
dao zhi 	导致	c=2 d=0.00530026 t=15081
de 	得	c=1 d=0.0149208 t=15081
de 	的	c=570 d=8.80763 t=15081
de ban ben 	的版本	c=1 d=1.3552e-17 t=15081
de dao 	得到	c=1 d=8.58924e-06 t=15081
de fei yong 	的费用	c=2 d=0.000378488 t=15081
de fen shen fa shu 	的分身乏术	c=1 d=1.26663e-16 t=15081
de fen shi an dui fang 	的分尸案对方	c=1 d=1.21697e-16 t=15081
de fen shou duan 	得分手段	c=0 d=0.000182715 t=15081
de fen shou duan lu fang ji 	得分手段录放机	c=1 d=0.0018363 t=15081
de gong neng 	的功能	c=1 d=1.08141e-09 t=15081
de hao 	的好	c=0 d=6.39496e-07 t=15081
de hua 	的话	c=1 d=5.80138e-07 t=15081
de ji fen 	的积分	c=0 d=1.66988e-28 t=15081
de kan fa 	的看法	c=0 d=5.56993e-29 t=15081
de kan fa jiu shi ai liang di fen ju a 	的看法就是爱两地分居啊	c=1 d=5.59785e-28 t=15081
de kong jian 	的空间	c=0 d=0.00102549 t=15081
de ma 	的吗	c=1 d=1.86178e-18 t=15081
de me 	的么	c=4 d=8.61001e-05 t=15081
de mi ma 	的密码	c=1 d=1 t=14682
de pai zi 	的牌子	c=1 d=1.20465e-14 t=15081
de qi wei 	的气味	c=0 d=9.29482e-24 t=15081
de ren gong 	的人工	c=0 d=0.0010358 t=15081
de ren wu 	的任务	c=2 d=0.927743 t=15081
de shi 	得是	c=1 d=0.83527 t=15081
de wen jian 	的文件	c=1 d=7.01031e-28 t=15081
de yi fu 	的衣服	c=1 d=1.83344e-14 t=15081
de yong 	的用	c=1 d=4.26892e-16 t=15081
de zhou lu 	德州路	c=1 d=2.79669e-11 t=15081
deng 	等	c=10 d=0.00623072 t=15081
deng dao 	等到	c=1 d=5.41562e-21 t=15081
deng deng 	等等	c=2 d=2.39676e-19 t=15081
deng deng wo 	等等我	c=1 d=1.24413e-11 t=15081
deng hui 	灯会	c=1 d=1.17307e-25 t=15081
deng hui 	等会	c=7 d=0.826959 t=15081
deng ji 	等级	c=1 d=3.8236e-14 t=15081
deng le 	登了	c=1 d=2.60939e-19 t=15081
deng lu 	登录	c=8 d=0.227092 t=15081
deng lu kai fa jian she da lu kuai 	登录开发建设大陆块	c=1 d=1 t=14939
deng ni 	等你	c=4 d=0.000212604 t=15081
deng sha 	等啥	c=1 d=5.70511e-16 t=15081
deng wo 	等我	c=3 d=5.18381e-06 t=15081
deng yi xia 	等一下	c=2 d=6.2107e-19 t=15081
di 	低	c=1 d=1.23133e-07 t=15081
di 	弟	c=1 d=6.49382e-10 t=15081
di di 	弟弟	c=1 d=8.69182e-28 t=15081
di er 	第二	c=0 d=0.1 t=14912
di er ge 	第二个	c=4 d=0.00326719 t=15081
di er ma 	第二码	c=1 d=1 t=14913
di fang 	地方	c=5 d=0.00934425 t=15081
di fang sa shui da fa 	地方洒水打发	c=1 d=1 t=14276
di li 	砥砺	c=0 d=5.32864e-08 t=15081
di li ke 	地理课	c=0 d=5.48701e-29 t=15081
di li ke sa jiao 	地理课撒娇	c=1 d=5.51451e-28 t=15081
di li qian xing 	砥砺前行	c=1 d=5.35535e-07 t=15081
di san ban 	第三版	c=1 d=5.3359e-23 t=15081
di san fang 	第三方	c=1 d=5.00707e-10 t=15081
di tu 	地图	c=1 d=5.13732e-18 t=15081
di yi ban 	第一版	c=1 d=1 t=14641
di yi ge 	第一个	c=5 d=0.0347353 t=15081
di zhi 	地址	c=7 d=0.180657 t=15081
dia 	嗲	c=0 d=4.94782e-18 t=15081
dian 	店	c=5 d=0.794534 t=15081
dian 	点	c=11 d=0.000392926 t=15081
dian 	电	c=0 d=9.97047e-26 t=15081
dian ban 	点半	c=3 d=1.16845e-08 t=15081
dian chi 	电池	c=2 d=7.02009e-15 t=15081
dian de 	点的	c=2 d=2.05583e-08 t=15081
dian deng pao 	电灯泡	c=0 d=1.51489e-05 t=15081
dian dong che 	电动车	c=1 d=1.10125e-24 t=15081
dian fan guo 	电饭锅	c=1 d=1.24582e-27 t=15081
dian fen lei 	淀粉类	c=0 d=0.1 t=14767
dian ge 	点个	c=1 d=1.64245e-14 t=15081
dian hua 	电话	c=2 d=5.8679e-21 t=15081
dian hui 	电汇	c=11 d=0.0105672 t=15081
dian ji 	点击	c=3 d=1.15693e-21 t=15081
dian li 	店里	c=2 d=0.0459593 t=15081
dian nao 	电脑	c=20 d=0.0264863 t=15081
dian rong 	电容	c=1 d=6.74024e-07 t=15081
dian shang 	点上	c=1 d=1.6019e-14 t=15081
dian shi 	电视	c=1 d=3.13913e-17 t=15081
dian shi qing 	点事情	c=1 d=1.57425e-15 t=15081
dian ti kou 	电梯口	c=1 d=4.05369e-25 t=15081
dian wo 	点我	c=1 d=4.76855e-24 t=15081
dian xin 	电信	c=3 d=0.101774 t=15081
dian xing 	典型	c=1 d=1.98236e-21 t=15081
dian yi ci 	点一次	c=1 d=0.000930303 t=15081
dian ying 	电影	c=3 d=2.79464e-06 t=15081
dian yuan 	电源	c=4 d=1.95336e-06 t=15081
dian zi 	电子	c=1 d=1 t=14595
diao 	掉	c=4 d=0.00491728 t=15081
diao 	调	c=1 d=0.163654 t=15081
diao cha 	调查	c=7 d=9.53756e-07 t=15081
diao tu 	调图	c=1 d=2.50537e-11 t=15081
diao yong 	调用	c=20 d=0.0133688 t=15081
ding 	定	c=0 d=6.77864e-16 t=15081
ding bu 	顶部	c=1 d=1 t=14177
ding de 	定地	c=1 d=6.51617e-21 t=15081
ding shi 	定时	c=1 d=0.193013 t=15081
ding wei 	定位	c=2 d=0.000645852 t=15081
ding xiang 	定向	c=0 d=3.9489e-12 t=15081
ding yi 	定义	c=8 d=0.000150441 t=15081
ding yi xia 	顶一下	c=1 d=2.41501e-20 t=15081
ding zhi 	定制	c=2 d=6.49786e-18 t=15081
ding zi 	钉子	c=1 d=7.40542e-26 t=15081
diu shi 	丢失	c=2 d=0.00386006 t=15081
diu shi fa ding shen fen 	丢失法定身份	c=1 d=0.0184997 t=15081
dong 	懂	c=1 d=2.13675e-21 t=15081
dong 	董	c=1 d=0.00568457 t=15081
dong bu 	东部	c=0 d=3.50057e-06 t=15081
dong che 	动车	c=0 d=9.97047e-26 t=15081
dong fang 	东方	c=1 d=1.33593e-25 t=15081
dong jing fen li 	动静分离	c=0 d=5.35153e-29 t=15081
dong jing re 	东京热	c=1 d=1.07101e-13 t=15081
dong li 	动力	c=1 d=4.30069e-15 t=15081
dong si 	冻死	c=2 d=0.0228322 t=15081
dong tai 	动态	c=6 d=0.000773179 t=15081
dong tai de 	动态的	c=1 d=0.000293099 t=15081
dong tao 	董涛	c=5 d=0.242838 t=15081
dong tian 	冬天	c=1 d=1.50109e-14 t=15081
dong xi 	东西	c=9 d=0.752029 t=15081
dong zhi 	东芝	c=1 d=8.19009e-05 t=15081
dou 	都	c=16 d=0.782705 t=15081
dou bao wan 	都报完	c=1 d=1.52165e-27 t=15081
dou bu 	都不	c=2 d=0.0309618 t=15081
dou bu neng 	都不能	c=1 d=0.759572 t=15081
dou bu zhi dao 	都不知道	c=0 d=0.1 t=15052
dou dou 	痘痘	c=1 d=2.79042e-14 t=15081
dou gan sha 	都干啥	c=1 d=4.56586e-13 t=15081
dou gei 	都给	c=1 d=8.1595e-17 t=15081
dou gei ni 	都给你	c=1 d=9.29007e-17 t=15081
dou hao 	都好	c=0 d=9.94472e-25 t=15081
dou hao duo le 	都好多了	c=1 d=9.99457e-24 t=15081
dou hu hao kan kan 	都呼号看看	c=1 d=1.61828e-16 t=15081
dou hua 	都花	c=0 d=6.95497e-24 t=15081
dou hua zai 	都花在	c=1 d=6.98984e-23 t=15081
dou hui 	都会	c=1 d=5.97278e-26 t=15081
dou ji 	都记	c=0 d=6.55685e-07 t=15081
dou ji zai 	都记在	c=1 d=6.58972e-06 t=15081
dou kai 	都开	c=0 d=5.78837e-11 t=15081
dou kai shi 	都开是	c=1 d=5.81739e-10 t=15081
dou kan guo 	都看过	c=1 d=3.00621e-08 t=15081
dou ke yi 	都可以	c=3 d=0.588605 t=15081
dou liang zhou 	都两周	c=1 d=4.81565e-22 t=15081
dou mai 	都买	c=0 d=9.93796e-17 t=15081
dou mai le 	都买了	c=2 d=2.63112e-13 t=15081
dou mei 	都没	c=1 d=6.78441e-25 t=15081
dou mei you 	都没有	c=3 d=2.69492e-07 t=15081
dou mie you 	都咩有	c=1 d=1.00882e-15 t=15081
dou shang ban le 	都上班了	c=1 d=2.21595e-08 t=15081
dou sheng cheng 	都生成	c=1 d=2.12979e-12 t=15081
dou shi 	都是	c=9 d=0.204948 t=15081
dou ting 	都听	c=0 d=1.40954e-10 t=15081
dou ting xiang 	都听像	c=1 d=1.41661e-09 t=15081
dou xu yao 	都需要	c=1 d=4.71052e-27 t=15081
dou yao 	都要	c=2 d=3.64372e-16 t=15081
dou yao qian 	都要钱	c=1 d=5.17291e-11 t=15081
dou you 	都有	c=2 d=0.88692 t=15081
dou zhun bei 	都准备	c=1 d=0.000156102 t=15081
dou zou 	都走	c=1 d=2.00541e-10 t=15081
du li si kao 	独立思考	c=0 d=5.68245e-29 t=15081
du qu 	读取	c=3 d=0.305746 t=15081
du shen fa shi 	赌身发誓	c=1 d=1.40105e-16 t=15081
